Actividad,Responsables,Duración,Inicio,Fin,Evento,Días al evento,Stopper
Gran Premio de Mexico Fórmula 1 2024,"Equipo de Proyecto,Dirección General CIE Internacional y F1",Dura 5 días,25/10/2024,27/10/2024,27/10/2024,0,
         Operación,Coordinación Experiencia al Cliente,Dura 6 días,25/10/2024,27/10/2024,27/10/2024,0,Operación
         Supervisión durante el México GP,Gerencia de Seguridad Corporativa,Dura 1 día,27/10/2024,27/10/2024,27/10/2024,0,Supervisión durante el México GP
         Preparación Embalaje y Coordinación,Dirección de Operaciones F1,Dura 0 días,27/10/2024,27/10/2024,27/10/2024,0,Preparación Embalaje y Coordinación
      Reabastecimiento durante el evento,Analista Experiencia al Cliente,Dura 10 días,22/10/2024,26/10/2024,27/10/2024,1,Reabastecimiento durante el evento
      3.2 Administración de Boletera-Boletaje,Coordinación de Boletaje F1,Dura 353 días,21/06/2023,25/10/2024,27/10/2024,2,
         Cuadre (se realiza cada semana),"Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1,Gerente de Planeación Financiera F1",Dura 247 días,16/11/2023,25/10/2024,27/10/2024,2,Cuadre (se realiza cada semana)
      Logística de impresión (indicación de fecha),Ticketmaster,Dura 353 días,21/06/2023,25/10/2024,27/10/2024,2,
         Cierre de inventario de boletos,Coordinación de Boletaje F1,Dura 41 días,30/08/2024,25/10/2024,27/10/2024,2,Cierre de inventario de boletos
         Ventas Especiales,Coordinación de Boletaje F1,Dura 247 días,16/11/2023,25/10/2024,27/10/2024,2,Ventas Especiales
      3.3 Venta de Productos y Servicios,Gerencia Sr. Comercial F1,Dura 410 días,03/04/2023,25/10/2024,27/10/2024,2,
         Propuestas aceptadas por Cliente,"Dirección Comercial F1,Gerencia Sr. Comercial F1,Gerencia Comercial F1",Dura 247 días,16/11/2023,25/10/2024,27/10/2024,2,Propuestas aceptadas por Cliente
         Contrato/Carta Compromiso,Gerencia de Administración e Información Comercial,Dura 247 días,16/11/2023,25/10/2024,27/10/2024,2,Contrato/Carta Compromiso
         Seguimiento y Conciliación de Pago,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1,Contraloría F1",Dura 247 días,16/11/2023,25/10/2024,27/10/2024,2,Seguimiento y Conciliación de Pago
         Cierre de la venta,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 247 días,16/11/2023,25/10/2024,27/10/2024,2,Cierre de la venta
      3.4 Administración de Venta,"Contraloría F1,Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 247 días,16/11/2023,25/10/2024,27/10/2024,2,
         Analítica de Pagos,Gerente de Planeación Financiera F1,Dura 247 días,16/11/2023,25/10/2024,27/10/2024,2,Analítica de Pagos
         Adiciones / Modificaciones,"Gerencia Comercial F1,Gerencia Sr. Comercial F1",Dura 246 días,17/11/2023,25/10/2024,27/10/2024,2,Adiciones / Modificaciones
      4.1 Ceremonia y Protocolos,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 15 días,07/10/2024,25/10/2024,27/10/2024,2,
         Ceremonia de apertura,"Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 0 días,25/10/2024,25/10/2024,27/10/2024,2,Ceremonia de apertura
         Protocolo show previo a la carrera,"Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 0 días,25/10/2024,25/10/2024,27/10/2024,2,Protocolo show previo a la carrera
