Actividad,Responsable,Duración,Inicio ,Fin,Evento,Días al Evento,Stoper
Entrega de bases finales monitoreo,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,01/09/2021,1/09/21,27/10/24,1152,
Entrega de capítulo eventos especiales Parte 1,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,01/09/2021,1/09/21,27/10/24,1152,
Reporte de cobertura de medios final versión completa,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,01/09/2021,1/09/21,27/10/24,1152,
Estudio de mecánica de suelos,"Dirección General CIE Internacional y F1,Dirección de Mercadotecnia F1,Dirección de Operaciones F1",Dura 10 días,01/09/2021,14/09/21,27/10/24,1139,
Levantamiento topográfico,"Dirección General CIE Internacional y F1,Dirección de Mercadotecnia F1,Dirección de Operaciones F1",Dura 5 días,15/09/2021,21/09/21,27/10/24,1132,Levantamiento topográfico
Definición de presupuesto de construcción,"Equipo de Proyecto,Gerente de Planeación Financiera F1,Dirección General CIE Internacional y F1",Dura 10 días,22/09/2021,5/10/21,27/10/24,1118,Definición de presupuesto de construcción
"Pre-aprobación OMDAI, FIA","Dirección General CIE Internacional y F1,Dirección de Mercadotecnia F1,Dirección de Operaciones F1",Dura 5 días,06/10/2021,12/10/21,27/10/24,1111,"Pre-aprobación OMDAI, FIA"
Definición de la ubicación,"Dirección General CIE Internacional y F1,Dirección de Mercadotecnia F1,Dirección de Operaciones F1",Dura 10 días,13/10/2021,26/10/21,27/10/24,1097,Definición de la ubicación
Planeación Trazo de Pista,"Equipo de Proyecto,Gerente de Planeación Financiera F1,Dirección General CIE Internacional y F1",Dura 55 días,01/09/2021,16/11/21,27/10/24,1076,
Definición de la dimensión,"Equipo de Proyecto,Gerente Producción F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 15 días,27/10/2021,16/11/21,27/10/24,1076,Definición de la dimensión
Mano de obra ( Planeación),"Equipo de Proyecto,Gerente Producción F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 20 días,17/11/2021,14/12/21,27/10/24,1048,Mano de obra ( Planeación)
