Actividad,Responsable,Duración,Inicio ,Fin,Evento,Días al Evento,Stoper
Planeación programa de voluntarios,Coordinación Experiencia al Cliente,Dura 4 días,16/01/2023,1/19/23,10/27/24,650,
Presentación entretenimiento lista,Coordinación Experiencia al Cliente,Dura 67 días,22/01/2023,3/29/23,10/27/24,644,
Brief agencias,Dirección Comercial F1,Dura 1 días,29/01/2023,1/29/23,10/27/24,637,
Revisión y entrega de template para reporte de cobertura de medios,Agencia INK PR,Dura 2 días,31/01/2023,2/1/23,10/27/24,635,
Preparación propuestas agencias,Dirección Comercial F1,Dura 27 días,31/01/2023,2/26/23,10/27/24,635,
Tower Estructuras,Dirección Operaciones F1,Dura 96 días,02/02/2023,5/8/23,10/27/24,633,
Planeación del Look & Feel,Creativo F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,Planeación de objetivos de campaña y Briefs/Uso de Look & Feel en espacios y objetos
Planeación de objetivos de campaña y Briefs,Gerencia Redes Sociales F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,Uso de Look & Feel en espacios y objetos/Definición de espacios y tamaño de montaje
Uso de Look & Feel en espacios y objetos,Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,Definición de espacios y tamaño de montaje/Adhesión a imagen del cliente
Definición de espacios y tamaño de montaje,"Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia Producción F1",Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,
Adhesión a imagen del cliente,Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,Amenities
Amenities,Subdirección Promotoría Experiencia al Cliente y Sustentabilidad F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,Tiempo sin la holgura necesaria para la producción 
Definición de pautado Marketing Digital,Gerencia Mercadotecnia Digital F1 ,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,Elaboración de contenidos/Publicación de contenidos
Elaboración de contenidos,Gerencia Redes Sociales F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,Agenda de contenidos
Publicación de contenidos,Gerencia Mercadotecnia Digital F1 ,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,Agenda de contenidos
Definición de Pautado Redes Sociales,Gerencia Redes Sociales F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,
Elaboración de contenidos,Dirección de Mercadotecnia ,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,Aprobación/Agenda de contenidos
Publicación de contenidos,Gerencia Mercadotecnia Digital F1 ,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,Aprobación/Agenda de contenidos
Publicación de contenidos patrocinadores Redes Sociales,Gerencia Redes Sociales F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,Aprobación/Agenda de contenidos
"Definición de participación (entrevista, colaboración, artículo)",Gerencia Redes Sociales F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,
Vocero para entrevistas,"Creativo F1, Gerencia Relaciones Públicas F1",Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,
Colaboraciones,Gerencia Redes Sociales F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,Aprobación
Monitoreo de campañas,Gerencia Mercadotecnia F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,Informes de impactos/Monitoreo de Publicaciones de Redes Sociales
Informes de impactos,Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,
Monitoreo de Publicaciones de Redes Sociales,Gerencia Redes Sociales F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,Informe de Impactos
Informe de Impactos,Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,
Revisión de requisitos,Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,
Contratación de profesionales,Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,
Recopilación y validación de la información,Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,
Integración del informe,Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,
Envío de Informe,Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,
Compilación para la generación del Informe CPTM,Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,
Definición de aspectos a evaluar,Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,
Selección de proveedores,Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,
"Evaluación de resultados de encuestas, estudios e informes",Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,
Acreditación medios. Revisión y envío de acreditaciones,Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 390 días,12/02/2023,07/03/2024,10/27/24,623,Falla en la Plataforma 
Reunión Kick Off,"RP MKT y Digital CIE, Agencia INK PR,IWO",Dura 1 días,12/02/2023,2/12/23,10/27/24,623,
Definición de la ubicación,Equipo de Proyecto ,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Estudio de mecánica de suelos 
Definición de la dimensión,Dirección General de CIE Internacional y F1,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Levantamiento topográfico
Estudio de mecánica de suelos,Equipo de Proyecto ,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Definición de presupuesto de construcción
Levantamiento topográfico,Equipo de Proyecto ,Dura 68 días,2/22/23,4/30/23,10/27/24,613,"Preaprobación OMDAI, FIA"
Definición de presupuesto de construcción,Equipo de Proyecto ,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Permisos de construcción
"Preaprobación OMDAI, FIA",Equipo de Proyecto ,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Materiales de construcción
Permisos de construcción,Equipo de Proyecto ,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Mano de obra
Materiales de construcción,Equipo de Proyecto ,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Planos
Mano de obra,Equipo de Proyecto ,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Aprobación
Planos,Equipo de Proyecto ,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Dictamen D.R.O
Aprobación,Equipo de Proyecto ,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Tiempo de construcción
Dictamen D.R.O,Equipo de Proyecto ,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Avance de la obra
Evaluación y Validación OMDAI,Equipo de Proyecto ,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Avance de la obra/Evaluación y Validación OMDAI
Evaluación FIA,Equipo de Proyecto ,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Que existan actividades por concluir
Pago de derechos,Contraloría F1,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Evaluación FIA/Pago de derechos
Certificación de Pista bajo estándar FIA,Equipo de Proyecto ,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Evaluación FIA
Análisis de espacio disponible (viabilidad para determinar la vocación del espacio),Dirección Operaciones F1,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Definición de la dimensión
"Determinación de Activaciones. Espacios A&B, Hospitalidades, Suites, Club, Grada, Patrocinio, Servicios Adicionales",Gerencia Producción F1,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Estimación M2 /PP/Servicios
Estimación metro cuadrado por persona-servicios,Gerencia Producción F1,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Estimación y costo M2 /PP/Servicios
Costeo de metro cuadrado de servicios,Gerencia Planeación Financiera,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Valuación de espacios Off Track Estimación M2 /PP/Servicios
Estimación de ingresos,Gerencia Planeación Financiera,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Estimación y costoM2 /PP/Servicios/Valuación de espacios On Track
Valuación de espacios On Track,Gerencia Planeación Financiera,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Estimación y costoM2 /PP/Servicios/Valuación de espacios Off Track
Valuación de espacios Off Track,Gerencia Planeación Financiera,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Estimación y costo M2 /PP/Servicios/Valuación de espacios Off Track
Estimación de egresos,Gerencia Planeación Financiera,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Valuación de espacios Off Track/Estimación de egresos/Estimación de rentabilidad
Estimación de rentabilidad,Gerencia Planeación Financiera,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Estimación de egresos/Estimación de rentabilidad
Tabla de Precios,"Gerencia Planeación Financiera, Dirección General de CIE Internacional y F1",Dura 68 días,2/22/23,4/30/23,10/27/24,613,Determinación de canales de venta
Determinación de canales de venta,"Gerencia Planeación Financiera, Dirección General de CIE Internacional y F1",Dura 68 días,2/22/23,4/30/23,10/27/24,613,Master plan v1.0
"Master plan (borrador, versiones y as built)",Gerencia Producción F1,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Tabla de Precios/Determinación de canales de venta/Master plan v1.0
Arte Poster Carrera,Dirección de Mercadotecnia ,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Aprobación
Catálogo de Productos F1,Creativo F1,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Definición del inventario para boletera
Definición del inventario para boletera,Coordinación Boletaje F1 ,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Junta de consejo
Cuadre (se realiza cada semana),Dirección Comercial F1,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Venta de productos
Solicitud para la generación de boletos,"Subdirección de Prom, Experiencia al Cliente y Sustentabilidad",Dura 68 días,2/22/23,4/30/23,10/27/24,613,Fechas de salida a la venta (solicitudes listas)
Logística de impresión (por (No hay sugerencias)),Ticketmaster,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Salida a la venta
Fechas de salida a la venta  (solicitudes listas),"Subdirección de Prom, Experiencia al Cliente y Sustentabilidad",Dura 68 días,2/22/23,4/30/23,10/27/24,613,Autorización de Dirección General
Salida a la venta,Coordinación Boletaje F1 ,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Propuesta Conceptual
Presentación,Creativo F1,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Renegociación de Venta
Propuesta Conceptual,"Dirección Comercial F1, Dirección Sr Comercial F1",Dura 68 días,2/22/23,4/30/23,10/27/24,613,Nuevos Clientes
Renegociación de Venta,Dirección Sr Comercial F1,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Entrega de Boletos y Productos
Nuevos Clientes,Coordinación Media Center F1,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Alta de cliente en software de ventas
Entrega de Boletos y Productos,"Coordinación Media Center F1, Gerente de Admin e Info Comercial ",Dura 68 días,2/22/23,4/30/23,10/27/24,613,Contratos o cartas firmados por el cliente (Documentos del clientes para contrato)
Alta de cliente en software de ventas,"Dirección Comercial F1, Dirección Sr Comercial F1",Dura 68 días,2/22/23,4/30/23,10/27/24,613,Analítica de Pagos
